Facility Name,City,Type,Location,Street Address,Zip Code,Google Map Embed,Listing Description,Continent,Thumbnail,Social:Image,Listing Images,Hourly Rate,Display Price,Sports,Booking Link,Rentals Page (INTERNAL USE),Rating,Approved,Manager,Email (from Host),Picture (from Host),User (from Host),Host Name (from Host),Host Email,Users,Activities,Booking Requests,SEO:Index,SEO:Title,SEO:Description,Social:Title,Social:Description,SEO:Slug,Activity Reviews (from Activities),Latitude,Longitude
Outdoor Basketball Court 03,Fremont,basketball,"37720 Fremont Blvd, Fremont, CA 94536",37720 Fremont Blvd,94536,N/A,Outdoor basketball courts are perfect for practices and games. This space can also be utilized for other outdoor events.,North America,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/a65c05c244e620cbf919/1581456918478-807-67.jpg,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/a65c05c244e620cbf919/1581456918478-807-67.jpg,"['https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/a65c05c244e620cbf919/1581456918478-807-67.jpg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/a65c05c244e620cbf919/1581456918478-807-67.jpg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/a65c05c244e620cbf919/1581456922517-568-147.jpg']",From $23.39/hr,From $23.39/hr,"['Badminton', 'Basketball', 'Volleyball']","https://facilities.facilitron.com/5ed7f1b127faa200c2a12f89?query=basketball&lat=37.5485396&lng=-121.988583&location=Fremont,%20CA,%20USA&startDate=1722816000000",,,,,,,,,,,,,,,,,,,,,
Outdoor Basketball Court 03,Fremont,basketball,"37720 Fremont Blvd, Fremont, CA 94536",37720 Fremont Blvd,94536,N/A,Outdoor basketball courts are perfect for practices and games. This space can also be utilized for other outdoor events.,North America,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/a65c05c244e620cbf919/1581456918478-807-67.jpg,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/a65c05c244e620cbf919/1581456918478-807-67.jpg,"['https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/a65c05c244e620cbf919/1581456918478-807-67.jpg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/a65c05c244e620cbf919/1581456918478-807-67.jpg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/a65c05c244e620cbf919/1581456922517-568-147.jpg']",From $23.39/hr,From $23.39/hr,"['Badminton', 'Basketball', 'Volleyball']","https://facilities.facilitron.com/5ed7f1b127faa200c2a12f89?query=basketball&lat=37.5485396&lng=-121.988583&location=Fremont,%20CA,%20USA&startDate=1722816000000",,,,,,,,,,,,,,,,,,,,,
Outdoor Basketball Court 04,Fremont,basketball,"37720 Fremont Blvd, Fremont, CA 94536",37720 Fremont Blvd,94536,N/A,Outdoor basketball courts are perfect for practices and games. This space can also be utilized for other outdoor events.,North America,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/a65c05c244e620cbf919/1581456918478-807-67.jpg,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/a65c05c244e620cbf919/1581456918478-807-67.jpg,"['https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/a65c05c244e620cbf919/1581456918478-807-67.jpg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/a65c05c244e620cbf919/1581456918478-807-67.jpg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/a65c05c244e620cbf919/1581456922517-568-147.jpg']",From $23.39/hr,From $23.39/hr,"['Badminton', 'Basketball', 'Volleyball']","https://facilities.facilitron.com/5ed7f1b127faa200c2a12f8c?query=basketball&lat=37.5485396&lng=-121.988583&location=Fremont,%20CA,%20USA&startDate=1722816000000",,,,,,,,,,,,,,,,,,,,,
Outdoor Basketball Court 04,Fremont,basketball,"37720 Fremont Blvd, Fremont, CA 94536",37720 Fremont Blvd,94536,N/A,Outdoor basketball courts are perfect for practices and games. This space can also be utilized for other outdoor events.,North America,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/a65c05c244e620cbf919/1581456918478-807-67.jpg,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/a65c05c244e620cbf919/1581456918478-807-67.jpg,"['https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/a65c05c244e620cbf919/1581456918478-807-67.jpg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/a65c05c244e620cbf919/1581456918478-807-67.jpg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/a65c05c244e620cbf919/1581456922517-568-147.jpg']",From $23.39/hr,From $23.39/hr,"['Badminton', 'Basketball', 'Volleyball']","https://facilities.facilitron.com/5ed7f1b127faa200c2a12f8c?query=basketball&lat=37.5485396&lng=-121.988583&location=Fremont,%20CA,%20USA&startDate=1722816000000",,,,,,,,,,,,,,,,,,,,,
Outdoor Basketball Court 02,Fremont,basketball,"37720 Fremont Blvd, Fremont, CA 94536",37720 Fremont Blvd,94536,N/A,Outdoor basketball courts are perfect for practices and games. This space can also be utilized for other outdoor events.,North America,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/a65c05c244e620cbf919/1581456918478-807-67.jpg,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/a65c05c244e620cbf919/1581456918478-807-67.jpg,"['https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/a65c05c244e620cbf919/1581456918478-807-67.jpg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/a65c05c244e620cbf919/1581456918478-807-67.jpg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/a65c05c244e620cbf919/1581456922517-568-147.jpg']",From $23.39/hr,From $23.39/hr,"['Badminton', 'Basketball', 'Volleyball']","https://facilities.facilitron.com/5ed7f1b127faa200c2a12f8d?query=basketball&lat=37.5485396&lng=-121.988583&location=Fremont,%20CA,%20USA&startDate=1722816000000",,,,,,,,,,,,,,,,,,,,,
Outdoor Basketball Court 02,Fremont,basketball,"37720 Fremont Blvd, Fremont, CA 94536",37720 Fremont Blvd,94536,N/A,Outdoor basketball courts are perfect for practices and games. This space can also be utilized for other outdoor events.,North America,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/a65c05c244e620cbf919/1581456918478-807-67.jpg,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/a65c05c244e620cbf919/1581456918478-807-67.jpg,"['https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/a65c05c244e620cbf919/1581456918478-807-67.jpg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/a65c05c244e620cbf919/1581456918478-807-67.jpg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/a65c05c244e620cbf919/1581456922517-568-147.jpg']",From $23.39/hr,From $23.39/hr,"['Badminton', 'Basketball', 'Volleyball']","https://facilities.facilitron.com/5ed7f1b127faa200c2a12f8d?query=basketball&lat=37.5485396&lng=-121.988583&location=Fremont,%20CA,%20USA&startDate=1722816000000",,,,,,,,,,,,,,,,,,,,,
Outdoor Basketball Court 05,Fremont,basketball,"37720 Fremont Blvd, Fremont, CA 94536",37720 Fremont Blvd,94536,N/A,Outdoor basketball courts are perfect for practices and games. This space can also be utilized for other outdoor events.,North America,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/a65c05c244e620cbf919/1581456918478-807-67.jpg,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/a65c05c244e620cbf919/1581456918478-807-67.jpg,"['https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/a65c05c244e620cbf919/1581456918478-807-67.jpg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/a65c05c244e620cbf919/1581456918478-807-67.jpg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/a65c05c244e620cbf919/1581456922517-568-147.jpg']",From $23.39/hr,From $23.39/hr,"['Badminton', 'Basketball', 'Volleyball']","https://facilities.facilitron.com/5ed7f1b127faa200c2a12f88?query=basketball&lat=37.5485396&lng=-121.988583&location=Fremont,%20CA,%20USA&startDate=1722816000000",,,,,,,,,,,,,,,,,,,,,
Outdoor Basketball Court 05,Fremont,basketball,"37720 Fremont Blvd, Fremont, CA 94536",37720 Fremont Blvd,94536,N/A,Outdoor basketball courts are perfect for practices and games. This space can also be utilized for other outdoor events.,North America,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/a65c05c244e620cbf919/1581456918478-807-67.jpg,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/a65c05c244e620cbf919/1581456918478-807-67.jpg,"['https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/a65c05c244e620cbf919/1581456918478-807-67.jpg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/a65c05c244e620cbf919/1581456918478-807-67.jpg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/a65c05c244e620cbf919/1581456922517-568-147.jpg']",From $23.39/hr,From $23.39/hr,"['Badminton', 'Basketball', 'Volleyball']","https://facilities.facilitron.com/5ed7f1b127faa200c2a12f88?query=basketball&lat=37.5485396&lng=-121.988583&location=Fremont,%20CA,%20USA&startDate=1722816000000",,,,,,,,,,,,,,,,,,,,,
Outdoor Basketball Court 06,Fremont,basketball,"37720 Fremont Blvd, Fremont, CA 94536",37720 Fremont Blvd,94536,N/A,Outdoor basketball courts are perfect for practices and games. This space can also be utilized for other outdoor events.,North America,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/a65c05c244e620cbf919/1581456918478-807-67.jpg,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/a65c05c244e620cbf919/1581456918478-807-67.jpg,"['https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/a65c05c244e620cbf919/1581456918478-807-67.jpg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/a65c05c244e620cbf919/1581456918478-807-67.jpg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/a65c05c244e620cbf919/1581456922517-568-147.jpg']",From $23.39/hr,From $23.39/hr,"['Badminton', 'Basketball', 'Volleyball']","https://facilities.facilitron.com/5ed7f1b127faa200c2a12f87?query=basketball&lat=37.5485396&lng=-121.988583&location=Fremont,%20CA,%20USA&startDate=1722816000000",,,,,,,,,,,,,,,,,,,,,
Outdoor Basketball Court 06,Fremont,basketball,"37720 Fremont Blvd, Fremont, CA 94536",37720 Fremont Blvd,94536,N/A,Outdoor basketball courts are perfect for practices and games. This space can also be utilized for other outdoor events.,North America,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/a65c05c244e620cbf919/1581456918478-807-67.jpg,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/a65c05c244e620cbf919/1581456918478-807-67.jpg,"['https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/a65c05c244e620cbf919/1581456918478-807-67.jpg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/a65c05c244e620cbf919/1581456918478-807-67.jpg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/a65c05c244e620cbf919/1581456922517-568-147.jpg']",From $23.39/hr,From $23.39/hr,"['Badminton', 'Basketball', 'Volleyball']","https://facilities.facilitron.com/5ed7f1b127faa200c2a12f87?query=basketball&lat=37.5485396&lng=-121.988583&location=Fremont,%20CA,%20USA&startDate=1722816000000",,,,,,,,,,,,,,,,,,,,,
Outdoor Basketball Court 01,Fremont,basketball,"37720 Fremont Blvd, Fremont, CA 94536",37720 Fremont Blvd,94536,N/A,Outdoor basketball courts are perfect for practices and games. This space can also be utilized for other outdoor events.,North America,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/a65c05c244e620cbf919/1581456918478-807-67.jpg,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/a65c05c244e620cbf919/1581456918478-807-67.jpg,"['https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/a65c05c244e620cbf919/1581456918478-807-67.jpg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/a65c05c244e620cbf919/1581456918478-807-67.jpg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/a65c05c244e620cbf919/1581456922517-568-147.jpg']",From $23.39/hr,From $23.39/hr,"['Badminton', 'Basketball', 'Volleyball']","https://facilities.facilitron.com/5ed7f1cadb293700a5b6d220?query=basketball&lat=37.5485396&lng=-121.988583&location=Fremont,%20CA,%20USA&startDate=1722816000000",,,,,,,,,,,,,,,,,,,,,
Outdoor Basketball Court 01,Fremont,basketball,"37720 Fremont Blvd, Fremont, CA 94536",37720 Fremont Blvd,94536,N/A,Outdoor basketball courts are perfect for practices and games. This space can also be utilized for other outdoor events.,North America,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/a65c05c244e620cbf919/1581456918478-807-67.jpg,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/a65c05c244e620cbf919/1581456918478-807-67.jpg,"['https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/a65c05c244e620cbf919/1581456918478-807-67.jpg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/a65c05c244e620cbf919/1581456918478-807-67.jpg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/a65c05c244e620cbf919/1581456922517-568-147.jpg']",From $23.39/hr,From $23.39/hr,"['Badminton', 'Basketball', 'Volleyball']","https://facilities.facilitron.com/5ed7f1cadb293700a5b6d220?query=basketball&lat=37.5485396&lng=-121.988583&location=Fremont,%20CA,%20USA&startDate=1722816000000",,,,,,,,,,,,,,,,,,,,,
Volleyball/Paddleball Court 1,Fremont,basketball,"2601 Parkside Dr, Fremont, CA 94536",2601 Parkside Dr,94536,N/A,Outdoor basketball courts are perfect for practices and games. This space can also be utilized for other outdoor events.,North America,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/3c8a69159e777c4594ee/1581465158217-551-123.jpg,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/3c8a69159e777c4594ee/1581465158217-551-123.jpg,"['https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/3c8a69159e777c4594ee/1581465158217-551-123.jpg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/3c8a69159e777c4594ee/1581465158217-551-123.jpg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/3c8a69159e777c4594ee/1581465158234-908-81.jpg']",From $23.39/hr,From $23.39/hr,"['Badminton', 'Basketball', 'Volleyball']","https://facilities.facilitron.com/5eea66ad66a472005bd9d975?query=basketball&lat=37.5485396&lng=-121.988583&location=Fremont,%20CA,%20USA&startDate=1722816000000",,,,,,,,,,,,,,,,,,,,,
Volleyball/Paddleball Court 1,Fremont,basketball,"2601 Parkside Dr, Fremont, CA 94536",2601 Parkside Dr,94536,N/A,Outdoor basketball courts are perfect for practices and games. This space can also be utilized for other outdoor events.,North America,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/3c8a69159e777c4594ee/1581465158217-551-123.jpg,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/3c8a69159e777c4594ee/1581465158217-551-123.jpg,"['https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/3c8a69159e777c4594ee/1581465158217-551-123.jpg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/3c8a69159e777c4594ee/1581465158217-551-123.jpg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/3c8a69159e777c4594ee/1581465158234-908-81.jpg']",From $23.39/hr,From $23.39/hr,"['Badminton', 'Basketball', 'Volleyball']","https://facilities.facilitron.com/5eea66ad66a472005bd9d975?query=basketball&lat=37.5485396&lng=-121.988583&location=Fremont,%20CA,%20USA&startDate=1722816000000",,,,,,,,,,,,,,,,,,,,,
Outdoor Basketball Court 1,Fremont,basketball,"2601 Parkside Dr, Fremont, CA 94536",2601 Parkside Dr,94536,N/A,Outdoor basketball courts are perfect for practices and games. This space can also be utilized for other outdoor events.,North America,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/3c8a69159e777c4594ee/1581465158217-551-123.jpg,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/3c8a69159e777c4594ee/1581465158217-551-123.jpg,"['https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/3c8a69159e777c4594ee/1581465158217-551-123.jpg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/3c8a69159e777c4594ee/1581465158217-551-123.jpg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/3c8a69159e777c4594ee/1581465158234-908-81.jpg']",From $23.39/hr,From $23.39/hr,"['Badminton', 'Basketball', 'Volleyball']","https://facilities.facilitron.com/5eea66ad66a472005bd9d976?query=basketball&lat=37.5485396&lng=-121.988583&location=Fremont,%20CA,%20USA&startDate=1722816000000",,,,,,,,,,,,,,,,,,,,,
Outdoor Basketball Court 1,Fremont,basketball,"2601 Parkside Dr, Fremont, CA 94536",2601 Parkside Dr,94536,N/A,Outdoor basketball courts are perfect for practices and games. This space can also be utilized for other outdoor events.,North America,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/3c8a69159e777c4594ee/1581465158217-551-123.jpg,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/3c8a69159e777c4594ee/1581465158217-551-123.jpg,"['https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/3c8a69159e777c4594ee/1581465158217-551-123.jpg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/3c8a69159e777c4594ee/1581465158217-551-123.jpg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/3c8a69159e777c4594ee/1581465158234-908-81.jpg']",From $23.39/hr,From $23.39/hr,"['Badminton', 'Basketball', 'Volleyball']","https://facilities.facilitron.com/5eea66ad66a472005bd9d976?query=basketball&lat=37.5485396&lng=-121.988583&location=Fremont,%20CA,%20USA&startDate=1722816000000",,,,,,,,,,,,,,,,,,,,,
Outdoor Basketball Court 4,Fremont,basketball,"4620 Mattos Dr, Fremont, CA 94536",4620 Mattos Dr,94536,N/A,Outdoor basketball courts are perfect for practices and games. This space can also be utilized for other outdoor events.,North America,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/881c07dd7f108aed24d1/1581456830357-500-183.jpeg,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/881c07dd7f108aed24d1/1581456830357-500-183.jpeg,"['https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/881c07dd7f108aed24d1/1581456830357-500-183.jpeg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/881c07dd7f108aed24d1/1581456830357-500-183.jpeg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/881c07dd7f108aed24d1/1581456833951-230-111.jpeg']",From $23.39/hr,From $23.39/hr,"['Badminton', 'Basketball', 'Volleyball']","https://facilities.facilitron.com/5ee7ac30698c0f005726ca0d?query=basketball&lat=37.5485396&lng=-121.988583&location=Fremont,%20CA,%20USA&startDate=1722816000000",,,,,,,,,,,,,,,,,,,,,
Outdoor Basketball Court 4,Fremont,basketball,"4620 Mattos Dr, Fremont, CA 94536",4620 Mattos Dr,94536,N/A,Outdoor basketball courts are perfect for practices and games. This space can also be utilized for other outdoor events.,North America,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/881c07dd7f108aed24d1/1581456830357-500-183.jpeg,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/881c07dd7f108aed24d1/1581456830357-500-183.jpeg,"['https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/881c07dd7f108aed24d1/1581456830357-500-183.jpeg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/881c07dd7f108aed24d1/1581456830357-500-183.jpeg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/881c07dd7f108aed24d1/1581456833951-230-111.jpeg']",From $23.39/hr,From $23.39/hr,"['Badminton', 'Basketball', 'Volleyball']","https://facilities.facilitron.com/5ee7ac30698c0f005726ca0d?query=basketball&lat=37.5485396&lng=-121.988583&location=Fremont,%20CA,%20USA&startDate=1722816000000",,,,,,,,,,,,,,,,,,,,,
Outdoor Basketball Court 5,Fremont,basketball,"4620 Mattos Dr, Fremont, CA 94536",4620 Mattos Dr,94536,N/A,Outdoor basketball courts are perfect for practices and games. This space can also be utilized for other outdoor events.,North America,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/881c07dd7f108aed24d1/1581456830357-500-183.jpeg,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/881c07dd7f108aed24d1/1581456830357-500-183.jpeg,"['https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/881c07dd7f108aed24d1/1581456830357-500-183.jpeg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/881c07dd7f108aed24d1/1581456830357-500-183.jpeg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/881c07dd7f108aed24d1/1581456833951-230-111.jpeg']",From $23.39/hr,From $23.39/hr,"['Badminton', 'Basketball', 'Volleyball']","https://facilities.facilitron.com/5ee7ac30698c0f005726ca0e?query=basketball&lat=37.5485396&lng=-121.988583&location=Fremont,%20CA,%20USA&startDate=1722816000000",,,,,,,,,,,,,,,,,,,,,
Outdoor Basketball Court 5,Fremont,basketball,"4620 Mattos Dr, Fremont, CA 94536",4620 Mattos Dr,94536,N/A,Outdoor basketball courts are perfect for practices and games. This space can also be utilized for other outdoor events.,North America,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/881c07dd7f108aed24d1/1581456830357-500-183.jpeg,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/881c07dd7f108aed24d1/1581456830357-500-183.jpeg,"['https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/881c07dd7f108aed24d1/1581456830357-500-183.jpeg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/881c07dd7f108aed24d1/1581456830357-500-183.jpeg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/881c07dd7f108aed24d1/1581456833951-230-111.jpeg']",From $23.39/hr,From $23.39/hr,"['Badminton', 'Basketball', 'Volleyball']","https://facilities.facilitron.com/5ee7ac30698c0f005726ca0e?query=basketball&lat=37.5485396&lng=-121.988583&location=Fremont,%20CA,%20USA&startDate=1722816000000",,,,,,,,,,,,,,,,,,,,,
Outdoor Basketball Court 4,Fremont,basketball,"4620 Mattos Dr, Fremont, CA 94536",4620 Mattos Dr,94536,N/A,Outdoor basketball courts are perfect for practices and games. This space can also be utilized for other outdoor events.,North America,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/881c07dd7f108aed24d1/1581456830357-500-183.jpeg,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/881c07dd7f108aed24d1/1581456830357-500-183.jpeg,"['https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/881c07dd7f108aed24d1/1581456830357-500-183.jpeg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/881c07dd7f108aed24d1/1581456830357-500-183.jpeg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/881c07dd7f108aed24d1/1581456833951-230-111.jpeg']",From $23.39/hr,From $23.39/hr,"['Badminton', 'Basketball', 'Volleyball']","https://facilities.facilitron.com/5ee7ac30698c0f005726ca0f?query=basketball&lat=37.5485396&lng=-121.988583&location=Fremont,%20CA,%20USA&startDate=1722816000000",,,,,,,,,,,,,,,,,,,,,
Outdoor Basketball Court 4,Fremont,basketball,"4620 Mattos Dr, Fremont, CA 94536",4620 Mattos Dr,94536,N/A,Outdoor basketball courts are perfect for practices and games. This space can also be utilized for other outdoor events.,North America,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/881c07dd7f108aed24d1/1581456830357-500-183.jpeg,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/881c07dd7f108aed24d1/1581456830357-500-183.jpeg,"['https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/881c07dd7f108aed24d1/1581456830357-500-183.jpeg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/881c07dd7f108aed24d1/1581456830357-500-183.jpeg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/881c07dd7f108aed24d1/1581456833951-230-111.jpeg']",From $23.39/hr,From $23.39/hr,"['Badminton', 'Basketball', 'Volleyball']","https://facilities.facilitron.com/5ee7ac30698c0f005726ca0f?query=basketball&lat=37.5485396&lng=-121.988583&location=Fremont,%20CA,%20USA&startDate=1722816000000",,,,,,,,,,,,,,,,,,,,,
Outdoor Basketball Court 3,Fremont,basketball,"4620 Mattos Dr, Fremont, CA 94536",4620 Mattos Dr,94536,N/A,Outdoor basketball courts are perfect for practices and games. This space can also be utilized for other outdoor events.,North America,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/881c07dd7f108aed24d1/1581456830357-500-183.jpeg,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/881c07dd7f108aed24d1/1581456830357-500-183.jpeg,"['https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/881c07dd7f108aed24d1/1581456830357-500-183.jpeg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/881c07dd7f108aed24d1/1581456830357-500-183.jpeg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/881c07dd7f108aed24d1/1581456833951-230-111.jpeg']",From $23.39/hr,From $23.39/hr,"['Badminton', 'Basketball', 'Volleyball']","https://facilities.facilitron.com/5ee7ac30698c0f005726ca0c?query=basketball&lat=37.5485396&lng=-121.988583&location=Fremont,%20CA,%20USA&startDate=1722816000000",,,,,,,,,,,,,,,,,,,,,
Outdoor Basketball Court 3,Fremont,basketball,"4620 Mattos Dr, Fremont, CA 94536",4620 Mattos Dr,94536,N/A,Outdoor basketball courts are perfect for practices and games. This space can also be utilized for other outdoor events.,North America,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/881c07dd7f108aed24d1/1581456830357-500-183.jpeg,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/881c07dd7f108aed24d1/1581456830357-500-183.jpeg,"['https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/881c07dd7f108aed24d1/1581456830357-500-183.jpeg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/881c07dd7f108aed24d1/1581456830357-500-183.jpeg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/881c07dd7f108aed24d1/1581456833951-230-111.jpeg']",From $23.39/hr,From $23.39/hr,"['Badminton', 'Basketball', 'Volleyball']","https://facilities.facilitron.com/5ee7ac30698c0f005726ca0c?query=basketball&lat=37.5485396&lng=-121.988583&location=Fremont,%20CA,%20USA&startDate=1722816000000",,,,,,,,,,,,,,,,,,,,,
Field - Practice,Fremont,basketball,"2601 Parkside Dr, Fremont, CA 94536",2601 Parkside Dr,94536,N/A,Outdoor basketball courts are perfect for practices and games. This space can also be utilized for other outdoor events.,North America,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/3c8a69159e777c4594ee/1581465158217-551-123.jpg,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/3c8a69159e777c4594ee/1581465158217-551-123.jpg,"['https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/3c8a69159e777c4594ee/1581465158217-551-123.jpg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/3c8a69159e777c4594ee/1581465158217-551-123.jpg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/3c8a69159e777c4594ee/1581465158234-908-81.jpg']",From $23.39/hr,From $23.39/hr,"['Badminton', 'Basketball', 'Volleyball']","https://facilities.facilitron.com/5eea66ad66a472005bd9d978?query=basketball&lat=37.5485396&lng=-121.988583&location=Fremont,%20CA,%20USA&startDate=1722816000000",,,,,,,,,,,,,,,,,,,,,
